"ip","vt_last10_dns_resolutions","vt_url","vt_asn","ipvoid_location","ipvoid_asn_owner","cymon_url","cymon_record_created","vt_count_samples_malicious_communicated_with","ipvoid_url","ipvoid_reverse_dns","vt_count_malicious_urls_hosted_by","vt_count_samples_undetected_communicated_with","cymon_last_updated","ipvoid_asn","vt_count_samples_malicious_embed_this_address","vt_count_samples_undetected_downloaded_from","vt_location","ipvoid_last_time_analysed","vt_count_samples_undetected_embed_this_address","cymon_blacklists____001","cymon_blacklists____002","cymon_blacklists____003","cymon_blacklists____004","cymon_blacklists____005","cymon_blacklists____006","cymon_blacklists____007","cymon_blacklists____008","cymon_blacklists____009","cymon_blacklists____010","cymon_blacklists____011","cymon_blacklists____012","cymon_blacklists____013","cymon_blacklists____014","cymon_blacklists","ipvoid_blacklists","vt_count_samples_malicious_downloaded_from","vt_asn_owner"
"204.188.235.250","","","","","","https://cymon.io/109.236.82.48","2015-09-15T21:49:35Z","","","","","","2015-09-15T21:55:46Z","","","","","","","ibm x-force exchange","spam.spamrats.com","spamrbl.imp.ch","sbl.spamhaus.org","zen.spamhaus.org","","","","","","","","","","","","",""
"199.204.72.173","","","","","","https://cymon.io/109.236.82.48","2015-09-15T21:49:35Z","","","","","","2015-09-15T21:55:46Z","","","","","","","ibm x-force exchange","spam.spamrats.com","spamrbl.imp.ch","sbl.spamhaus.org","zen.spamhaus.org","","","","","","","","","","","","",""
"89.149.226.216","","","","","","https://cymon.io/109.236.82.48","2015-09-15T21:49:35Z","","","","","","2015-09-15T21:55:46Z","","","","","","","ibm x-force exchange","spam.spamrats.com","spamrbl.imp.ch","sbl.spamhaus.org","zen.spamhaus.org","","","","","","","","","","","","",""
"176.31.240.31","","","","","","https://cymon.io/176.31.240.31","2015-09-05T11:14:58Z","","","","","","2015-09-18T09:49:41Z","","","","","","","alienvault reputation","","","","","","","","","","","","","","","","",""
"65.75.149.36","","","","","","https://cymon.io/176.31.240.31","2015-09-05T11:14:58Z","","","","","","2015-09-18T09:49:41Z","","","","","","","alienvault reputation","","","","","","","","","","","","","","","","",""
"46.28.107.175","","","","","","https://cymon.io/176.31.240.31","2015-09-05T11:14:58Z","","","","","","2015-09-18T09:49:41Z","","","","","","","alienvault reputation","","","","","","","","","","","","","","","","",""
"67.196.49.171","","","","","","https://cymon.io/176.31.240.31","2015-09-05T11:14:58Z","","","","","","2015-09-18T09:49:41Z","","","","","","","alienvault reputation","","","","","","","","","","","","","","","","",""
"188.72.248.171","","","","","","https://cymon.io/176.31.240.31","2015-09-05T11:14:58Z","","","","","","2015-09-18T09:49:41Z","","","","","","","alienvault reputation","","","","","","","","","","","","","","","","",""
"37.200.65.232","","","","","","https://cymon.io/176.31.240.31","2015-09-05T11:14:58Z","","","","","","2015-09-18T09:49:41Z","","","","","","","alienvault reputation","","","","","","","","","","","","","","","","",""
"85.143.166.135","","","","","","https://cymon.io/176.31.240.31","2015-09-05T11:14:58Z","","","","","","2015-09-18T09:49:41Z","","","","","","","alienvault reputation","","","","","","","","","","","","","","","","",""
"198.50.194.12","","","","","","https://cymon.io/176.31.240.31","2015-09-05T11:14:58Z","","","","","","2015-09-18T09:49:41Z","","","","","","","alienvault reputation","","","","","","","","","","","","","","","","",""
"37.157.255.18","","","","","","https://cymon.io/176.31.240.31","2015-09-05T11:14:58Z","","","","","","2015-09-18T09:49:41Z","","","","","","","alienvault reputation","","","","","","","","","","","","","","","","",""
"37.157.255.11","","","","","","https://cymon.io/176.31.240.31","2015-09-05T11:14:58Z","","","","","","2015-09-18T09:49:41Z","","","","","","","alienvault reputation","","","","","","","","","","","","","","","","",""
"37.157.255.15","","","","","","https://cymon.io/37.157.255.15","2016-11-23T00:51:56Z","","","","","","2016-12-04T19:45:03Z","","","","","","","reputationauthority.org","sbl.spamhaus.org","zen.spamhaus.org","","","","","","","","","","","","","","",""
"79.96.146.144","","","","","","https://cymon.io/37.157.255.15","2016-11-23T00:51:56Z","","","","","","2016-12-04T19:45:03Z","","","","","","","reputationauthority.org","sbl.spamhaus.org","zen.spamhaus.org","","","","","","","","","","","","","","",""
"193.169.244.223","","","","","","https://cymon.io/37.157.255.15","2016-11-23T00:51:56Z","","","","","","2016-12-04T19:45:03Z","","","","","","","reputationauthority.org","sbl.spamhaus.org","zen.spamhaus.org","","","","","","","","","","","","","","",""
"67.196.3.78","","","","","","https://cymon.io/37.157.255.15","2016-11-23T00:51:56Z","","","","","","2016-12-04T19:45:03Z","","","","","","","reputationauthority.org","sbl.spamhaus.org","zen.spamhaus.org","","","","","","","","","","","","","","",""
"67.196.3.79","","","","","","https://cymon.io/37.157.255.15","2016-11-23T00:51:56Z","","","","","","2016-12-04T19:45:03Z","","","","","","","reputationauthority.org","sbl.spamhaus.org","zen.spamhaus.org","","","","","","","","","","","","","","",""
"67.196.3.72","","","","","","https://cymon.io/37.157.255.15","2016-11-23T00:51:56Z","","","","","","2016-12-04T19:45:03Z","","","","","","","reputationauthority.org","sbl.spamhaus.org","zen.spamhaus.org","","","","","","","","","","","","","","",""
"67.196.3.70","","","","","","https://cymon.io/37.157.255.15","2016-11-23T00:51:56Z","","","","","","2016-12-04T19:45:03Z","","","","","","","reputationauthority.org","sbl.spamhaus.org","zen.spamhaus.org","","","","","","","","","","","","","","",""
"67.196.3.71","","","","","","https://cymon.io/37.157.255.15","2016-11-23T00:51:56Z","","","","","","2016-12-04T19:45:03Z","","","","","","","reputationauthority.org","sbl.spamhaus.org","zen.spamhaus.org","","","","","","","","","","","","","","",""
"67.196.3.76","","","","","","https://cymon.io/37.157.255.15","2016-11-23T00:51:56Z","","","","","","2016-12-04T19:45:03Z","","","","","","","reputationauthority.org","sbl.spamhaus.org","zen.spamhaus.org","","","","","","","","","","","","","","",""
"65.60.0.113","","","","","","https://cymon.io/37.157.255.15","2016-11-23T00:51:56Z","","","","","","2016-12-04T19:45:03Z","","","","","","","reputationauthority.org","sbl.spamhaus.org","zen.spamhaus.org","","","","","","","","","","","","","","",""
"178.132.203.85","","","","","","https://cymon.io/37.157.255.15","2016-11-23T00:51:56Z","","","","","","2016-12-04T19:45:03Z","","","","","","","reputationauthority.org","sbl.spamhaus.org","zen.spamhaus.org","","","","","","","","","","","","","","",""
"50.30.47.96","","","","","","https://cymon.io/37.157.255.15","2016-11-23T00:51:56Z","","","","","","2016-12-04T19:45:03Z","","","","","","","reputationauthority.org","sbl.spamhaus.org","zen.spamhaus.org","","","","","","","","","","","","","","",""
"176.65.161.38","","","","","","https://cymon.io/37.157.255.15","2016-11-23T00:51:56Z","","","","","","2016-12-04T19:45:03Z","","","","","","","reputationauthority.org","sbl.spamhaus.org","zen.spamhaus.org","","","","","","","","","","","","","","",""
"198.50.194.31","","","","","","https://cymon.io/198.50.194.31","2015-07-19T22:05:36Z","","","","","","2015-07-19T22:24:16Z","","","","","","","virustotal.com","urlquery.net","","","","","","","","","","","","","","","",""
"37.157.255.35","","","","","","https://cymon.io/198.50.194.31","2015-07-19T22:05:36Z","","","","","","2015-07-19T22:24:16Z","","","","","","","virustotal.com","urlquery.net","","","","","","","","","","","","","","","",""
"37.157.255.30","","","","","","https://cymon.io/198.50.194.31","2015-07-19T22:05:36Z","","","","","","2015-07-19T22:24:16Z","","","","","","","virustotal.com","urlquery.net","","","","","","","","","","","","","","","",""
"109.206.186.12","","","","","","https://cymon.io/198.50.194.31","2015-07-19T22:05:36Z","","","","","","2015-07-19T22:24:16Z","","","","","","","virustotal.com","urlquery.net","","","","","","","","","","","","","","","",""
"109.206.186.14","","","","","","https://cymon.io/198.50.194.31","2015-07-19T22:05:36Z","","","","","","2015-07-19T22:24:16Z","","","","","","","virustotal.com","urlquery.net","","","","","","","","","","","","","","","",""
"85.17.224.166","","","","","","https://cymon.io/198.50.194.31","2015-07-19T22:05:36Z","","","","","","2015-07-19T22:24:16Z","","","","","","","virustotal.com","urlquery.net","","","","","","","","","","","","","","","",""
"193.169.245.8","","","","","","https://cymon.io/198.50.194.31","2015-07-19T22:05:36Z","","","","","","2015-07-19T22:24:16Z","","","","","","","virustotal.com","urlquery.net","","","","","","","","","","","","","","","",""
"176.31.39.134","","","","","","https://cymon.io/176.31.39.134","2016-08-24T23:27:54Z","","","","","","2016-08-24T23:33:51Z","","","","","","","virustotal.com","urlquery.net","","","","","","","","","","","","","","","",""
"193.169.245.7","","","","","","https://cymon.io/176.31.39.134","2016-08-24T23:27:54Z","","","","","","2016-08-24T23:33:51Z","","","","","","","virustotal.com","urlquery.net","","","","","","","","","","","","","","","",""
"193.169.245.6","","","","","","https://cymon.io/193.169.245.6","2015-05-26T00:39:23Z","","","","","","2015-05-26T00:39:25Z","","","","","","","bl.spamcannibal.org","virustotal.com","urlquery.net","","","","","","","","","","","","","","",""
"193.169.245.5","","","","","","https://cymon.io/193.169.245.6","2015-05-26T00:39:23Z","","","","","","2015-05-26T00:39:25Z","","","","","","","bl.spamcannibal.org","virustotal.com","urlquery.net","","","","","","","","","","","","","","",""
"199.204.72.170","","","","","","https://cymon.io/193.169.245.6","2015-05-26T00:39:23Z","","","","","","2015-05-26T00:39:25Z","","","","","","","bl.spamcannibal.org","virustotal.com","urlquery.net","","","","","","","","","","","","","","",""
"188.40.52.46","","","","","","https://cymon.io/193.169.245.6","2015-05-26T00:39:23Z","","","","","","2015-05-26T00:39:25Z","","","","","","","bl.spamcannibal.org","virustotal.com","urlquery.net","","","","","","","","","","","","","","",""
"157.14.29.118","","","","","","https://cymon.io/193.169.245.6","2015-05-26T00:39:23Z","","","","","","2015-05-26T00:39:25Z","","","","","","","bl.spamcannibal.org","virustotal.com","urlquery.net","","","","","","","","","","","","","","",""
"67.23.226.179","","","","","","https://cymon.io/67.23.226.179","2015-01-24T23:15:37Z","","","","","","2017-08-04T02:14:49Z","","","","","","","reputationauthority.org","safeweb.norton.com","tor.ahbl.org","dnsbl.ahbl.org","openphish.com","virustotal.com","alienvault reputation","urlquery.net","senderbase.org","google safebrowsing","hphosts-phishing","phishtank","cleanmx-malware","cleanmx-phishing","","","",""
"64.187.226.190","","","","","","https://cymon.io/67.23.226.179","2015-01-24T23:15:37Z","","","","","","2017-08-04T02:14:49Z","","","","","","","reputationauthority.org","safeweb.norton.com","tor.ahbl.org","dnsbl.ahbl.org","openphish.com","virustotal.com","alienvault reputation","urlquery.net","senderbase.org","google safebrowsing","hphosts-phishing","phishtank","cleanmx-malware","cleanmx-phishing","","","",""
"95.163.89.226","","","","","","https://cymon.io/67.23.226.179","2015-01-24T23:15:37Z","","","","","","2017-08-04T02:14:49Z","","","","","","","reputationauthority.org","safeweb.norton.com","tor.ahbl.org","dnsbl.ahbl.org","openphish.com","virustotal.com","alienvault reputation","urlquery.net","senderbase.org","google safebrowsing","hphosts-phishing","phishtank","cleanmx-malware","cleanmx-phishing","","","",""
"95.163.89.227","","","","","","https://cymon.io/67.23.226.179","2015-01-24T23:15:37Z","","","","","","2017-08-04T02:14:49Z","","","","","","","reputationauthority.org","safeweb.norton.com","tor.ahbl.org","dnsbl.ahbl.org","openphish.com","virustotal.com","alienvault reputation","urlquery.net","senderbase.org","google safebrowsing","hphosts-phishing","phishtank","cleanmx-malware","cleanmx-phishing","","","",""
"219.235.1.127","","","","","","https://cymon.io/219.235.1.127","2015-04-04T03:25:17Z","","","","","","2016-11-07T16:43:33Z","","","","","","","virustotal.com","alienvault reputation","urlquery.net","","","","","","","","","","","","","","",""
"50.22.179.159","","","","","","https://cymon.io/219.235.1.127","2015-04-04T03:25:17Z","","","","","","2016-11-07T16:43:33Z","","","","","","","virustotal.com","alienvault reputation","urlquery.net","","","","","","","","","","","","","","",""
"188.190.124.93","","","","","","https://cymon.io/219.235.1.127","2015-04-04T03:25:17Z","","","","","","2016-11-07T16:43:33Z","","","","","","","virustotal.com","alienvault reputation","urlquery.net","","","","","","","","","","","","","","",""
"46.30.42.32","","","","","","https://cymon.io/46.30.42.32","2015-11-04T07:02:28Z","","","","","","2015-11-20T10:05:44Z","","","","","","","b.barracudacentral.org","bl.spamcannibal.org","","","","","","","","","","","","","","","",""
"62.109.18.90","","","","","","https://cymon.io/46.30.42.32","2015-11-04T07:02:28Z","","","","","","2015-11-20T10:05:44Z","","","","","","","b.barracudacentral.org","bl.spamcannibal.org","","","","","","","","","","","","","","","",""
"178.162.170.125","","","","","","https://cymon.io/46.30.42.32","2015-11-04T07:02:28Z","","","","","","2015-11-20T10:05:44Z","","","","","","","b.barracudacentral.org","bl.spamcannibal.org","","","","","","","","","","","","","","","",""
"46.183.217.137","","","","","","https://cymon.io/46.30.42.32","2015-11-04T07:02:28Z","","","","","","2015-11-20T10:05:44Z","","","","","","","b.barracudacentral.org","bl.spamcannibal.org","","","","","","","","","","","","","","","",""
"216.55.167.56","","","","","","https://cymon.io/46.30.42.32","2015-11-04T07:02:28Z","","","","","","2015-11-20T10:05:44Z","","","","","","","b.barracudacentral.org","bl.spamcannibal.org","","","","","","","","","","","","","","","",""
"37.59.139.222","","","","","","https://cymon.io/46.30.42.32","2015-11-04T07:02:28Z","","","","","","2015-11-20T10:05:44Z","","","","","","","b.barracudacentral.org","bl.spamcannibal.org","","","","","","","","","","","","","","","",""
"149.47.144.199","","","","","","https://cymon.io/46.30.42.32","2015-11-04T07:02:28Z","","","","","","2015-11-20T10:05:44Z","","","","","","","b.barracudacentral.org","bl.spamcannibal.org","","","","","","","","","","","","","","","",""
"108.61.43.150","","","","","","https://cymon.io/46.30.42.32","2015-11-04T07:02:28Z","","","","","","2015-11-20T10:05:44Z","","","","","","","b.barracudacentral.org","bl.spamcannibal.org","","","","","","","","","","","","","","","",""
"37.157.255.151","","","","","","https://cymon.io/46.30.42.32","2015-11-04T07:02:28Z","","","","","","2015-11-20T10:05:44Z","","","","","","","b.barracudacentral.org","bl.spamcannibal.org","","","","","","","","","","","","","","","",""
"37.157.255.150","","","","","","https://cymon.io/46.30.42.32","2015-11-04T07:02:28Z","","","","","","2015-11-20T10:05:44Z","","","","","","","b.barracudacentral.org","bl.spamcannibal.org","","","","","","","","","","","","","","","",""
"37.157.255.152","","","","","","https://cymon.io/37.157.255.152","2017-05-23T17:52:58Z","","","","","","2017-06-19T17:55:15Z","","","","","","","ciarmy.com","alienvault reputation","","","","","","","","","","","","","","","",""
"212.85.116.21","","","","","","https://cymon.io/37.157.255.152","2017-05-23T17:52:58Z","","","","","","2017-06-19T17:55:15Z","","","","","","","ciarmy.com","alienvault reputation","","","","","","","","","","","","","","","",""
"129.121.35.147","","","","","","https://cymon.io/37.157.255.152","2017-05-23T17:52:58Z","","","","","","2017-06-19T17:55:15Z","","","","","","","ciarmy.com","alienvault reputation","","","","","","","","","","","","","","","",""
"204.13.71.4","","","","","","https://cymon.io/37.157.255.152","2017-05-23T17:52:58Z","","","","","","2017-06-19T17:55:15Z","","","","","","","ciarmy.com","alienvault reputation","","","","","","","","","","","","","","","",""
"188.40.52.9","","","","","","https://cymon.io/37.157.255.152","2017-05-23T17:52:58Z","","","","","","2017-06-19T17:55:15Z","","","","","","","ciarmy.com","alienvault reputation","","","","","","","","","","","","","","","",""
"65.75.145.186","","","","","","https://cymon.io/37.157.255.152","2017-05-23T17:52:58Z","","","","","","2017-06-19T17:55:15Z","","","","","","","ciarmy.com","alienvault reputation","","","","","","","","","","","","","","","",""
"77.79.4.4","","","","","","https://cymon.io/37.157.255.152","2017-05-23T17:52:58Z","","","","","","2017-06-19T17:55:15Z","","","","","","","ciarmy.com","alienvault reputation","","","","","","","","","","","","","","","",""
"74.91.117.215","","","","","","https://cymon.io/37.157.255.152","2017-05-23T17:52:58Z","","","","","","2017-06-19T17:55:15Z","","","","","","","ciarmy.com","alienvault reputation","","","","","","","","","","","","","","","",""
"5.79.85.237","","","","","","https://cymon.io/5.79.85.237","2015-02-24T06:31:11Z","","","","","","2015-02-24T06:31:14Z","","","","","","","virustotal.com","urlquery.net","","","","","","","","","","","","","","","",""
"37.157.255.170","","","","","","https://cymon.io/5.79.85.237","2015-02-24T06:31:11Z","","","","","","2015-02-24T06:31:14Z","","","","","","","virustotal.com","urlquery.net","","","","","","","","","","","","","","","",""
"188.165.24.210","","","","","","https://cymon.io/5.79.85.237","2015-02-24T06:31:11Z","","","","","","2015-02-24T06:31:14Z","","","","","","","virustotal.com","urlquery.net","","","","","","","","","","","","","","","",""
"193.169.245.68","","","","","","https://cymon.io/193.169.245.68","2017-01-29T08:31:01Z","","","","","","2017-02-05T07:45:06Z","","","","","","","reputationauthority.org","spam.spamrats.com","dyna.spamrats.com","zen.spamhaus.org","sbl.spamhaus.org","virustotal.com","","","","","","","","","","","",""
"193.169.245.64","","","","","","https://cymon.io/193.169.245.64","2015-12-04T11:01:05Z","","","","","","2015-12-21T13:47:36Z","","","","","","","ibm x-force exchange","reputationauthority.org","psbl.surriel.com","zen.spamhaus.org","sbl.spamhaus.org","bl.spamcannibal.org","","","","","","","","","","","",""
"178.162.170.160","","","","","","https://cymon.io/193.169.245.64","2015-12-04T11:01:05Z","","","","","","2015-12-21T13:47:36Z","","","","","","","ibm x-force exchange","reputationauthority.org","psbl.surriel.com","zen.spamhaus.org","sbl.spamhaus.org","bl.spamcannibal.org","","","","","","","","","","","",""
"199.101.145.58","","","","","","https://cymon.io/193.169.245.64","2015-12-04T11:01:05Z","","","","","","2015-12-21T13:47:36Z","","","","","","","ibm x-force exchange","reputationauthority.org","psbl.surriel.com","zen.spamhaus.org","sbl.spamhaus.org","bl.spamcannibal.org","","","","","","","","","","","",""
"91.204.208.9","","","","","","https://cymon.io/193.169.245.64","2015-12-04T11:01:05Z","","","","","","2015-12-21T13:47:36Z","","","","","","","ibm x-force exchange","reputationauthority.org","psbl.surriel.com","zen.spamhaus.org","sbl.spamhaus.org","bl.spamcannibal.org","","","","","","","","","","","",""
"140.114.67.67","","","","","","https://cymon.io/193.169.245.64","2015-12-04T11:01:05Z","","","","","","2015-12-21T13:47:36Z","","","","","","","ibm x-force exchange","reputationauthority.org","psbl.surriel.com","zen.spamhaus.org","sbl.spamhaus.org","bl.spamcannibal.org","","","","","","","","","","","",""
"91.211.119.22","","","","","","https://cymon.io/193.169.245.64","2015-12-04T11:01:05Z","","","","","","2015-12-21T13:47:36Z","","","","","","","ibm x-force exchange","reputationauthority.org","psbl.surriel.com","zen.spamhaus.org","sbl.spamhaus.org","bl.spamcannibal.org","","","","","","","","","","","",""
"66.55.157.202","","","","","","https://cymon.io/193.169.245.64","2015-12-04T11:01:05Z","","","","","","2015-12-21T13:47:36Z","","","","","","","ibm x-force exchange","reputationauthority.org","psbl.surriel.com","zen.spamhaus.org","sbl.spamhaus.org","bl.spamcannibal.org","","","","","","","","","","","",""
"129.121.232.136","","","","","","https://cymon.io/193.169.245.64","2015-12-04T11:01:05Z","","","","","","2015-12-21T13:47:36Z","","","","","","","ibm x-force exchange","reputationauthority.org","psbl.surriel.com","zen.spamhaus.org","sbl.spamhaus.org","bl.spamcannibal.org","","","","","","","","","","","",""
"79.96.76.203","","","","","","https://cymon.io/193.169.245.64","2015-12-04T11:01:05Z","","","","","","2015-12-21T13:47:36Z","","","","","","","ibm x-force exchange","reputationauthority.org","psbl.surriel.com","zen.spamhaus.org","sbl.spamhaus.org","bl.spamcannibal.org","","","","","","","","","","","",""
"37.157.254.239","","","","","","https://cymon.io/193.169.245.64","2015-12-04T11:01:05Z","","","","","","2015-12-21T13:47:36Z","","","","","","","ibm x-force exchange","reputationauthority.org","psbl.surriel.com","zen.spamhaus.org","sbl.spamhaus.org","bl.spamcannibal.org","","","","","","","","","","","",""
"37.157.254.238","","","","","","https://cymon.io/193.169.245.64","2015-12-04T11:01:05Z","","","","","","2015-12-21T13:47:36Z","","","","","","","ibm x-force exchange","reputationauthority.org","psbl.surriel.com","zen.spamhaus.org","sbl.spamhaus.org","bl.spamcannibal.org","","","","","","","","","","","",""
"62.109.19.124","","","","","","https://cymon.io/193.169.245.64","2015-12-04T11:01:05Z","","","","","","2015-12-21T13:47:36Z","","","","","","","ibm x-force exchange","reputationauthority.org","psbl.surriel.com","zen.spamhaus.org","sbl.spamhaus.org","bl.spamcannibal.org","","","","","","","","","","","",""
"65.77.129.14","","","","","","https://cymon.io/193.169.245.64","2015-12-04T11:01:05Z","","","","","","2015-12-21T13:47:36Z","","","","","","","ibm x-force exchange","reputationauthority.org","psbl.surriel.com","zen.spamhaus.org","sbl.spamhaus.org","bl.spamcannibal.org","","","","","","","","","","","",""
"79.96.91.74","","","","","","https://cymon.io/193.169.245.64","2015-12-04T11:01:05Z","","","","","","2015-12-21T13:47:36Z","","","","","","","ibm x-force exchange","reputationauthority.org","psbl.surriel.com","zen.spamhaus.org","sbl.spamhaus.org","bl.spamcannibal.org","","","","","","","","","","","",""
"178.162.137.83","","","","","","https://cymon.io/193.169.245.64","2015-12-04T11:01:05Z","","","","","","2015-12-21T13:47:36Z","","","","","","","ibm x-force exchange","reputationauthority.org","psbl.surriel.com","zen.spamhaus.org","sbl.spamhaus.org","bl.spamcannibal.org","","","","","","","","","","","",""
"62.76.42.45","","","","","","https://cymon.io/62.76.42.45","2015-06-11T16:16:21Z","","","","","","2015-06-11T16:16:21Z","","","","","","","alienvault reputation","","","","","","","","","","","","","","","","",""
"223.26.55.97","","","","","","https://cymon.io/223.26.55.97","2016-08-22T07:16:53Z","","","","","","2017-12-20T20:14:58Z","","","","","","","labs.snort.org","urlquery.net","","","","","","","","","","","","","","","",""
"178.162.170.65","","","","","","https://cymon.io/223.26.55.97","2016-08-22T07:16:53Z","","","","","","2017-12-20T20:14:58Z","","","","","","","labs.snort.org","urlquery.net","","","","","","","","","","","","","","","",""
